Token,District,Area,Rooms,Floor,Parking,Storage,Elevator,Exact_Price,Age,Price_per_meter
gaDcBBgI,آبشار تهران (دریاچه),87.0,2.0,8.0,True,True,True,1304999936,0.0,14999999.264367817
QatTcCk_,آبشار تهران (دریاچه),98.0,2.0,9.0,True,True,True,15500000256,3.0,158163267.91836736
Qa7Xi8i7,آبشار تهران (دریاچه),75.0,2.0,0.0,False,True,False,9500000256,27.0,126666670.08
Qas32K44,آبشار تهران (دریاچه),79.0,2.0,3.0,True,True,True,12300000256,17.0,155696205.7721519
Qa8z6wqH,آبشار تهران (دریاچه),100.0,3.0,5.0,True,True,True,12999999488,1.0,129999994.88
gaCYOtui,آبشار تهران (دریاچه),83.0,2.0,7.0,True,True,True,2489999872,0.0,29999998.457831327
QavnDts3,آبشار تهران (دریاچه),98.0,2.0,9.0,True,True,True,16300000256,4.0,166326533.2244898
gaDI2oNB,آبشار تهران (دریاچه),88.0,2.0,9.0,True,True,True,3344000000,1.0,38000000.0
gaDoUBNg,آبشار تهران (دریاچه),85.0,2.0,4.0,True,True,True,12499999744,10.0,147058820.51764706
Qa8z6FzC,آبشار تهران (دریاچه),73.0,2.0,2.0,False,True,True,11500000256,19.0,157534250.0821918
gaDgU64K,آجودانیه,220.0,4.0,2.0,True,True,True,86100000768,17.0,391363639.8545455
gaDwjfQt,آجودانیه,190.0,3.0,5.0,True,True,True,67999997952,19.0,357894726.0631579
gaDYxMYv,آجودانیه,120.0,2.0,4.0,True,True,True,38999998464,9.0,324999987.2
gaCkcfBq,آجودانیه,120.0,2.0,2.0,True,True,True,65000001536,0.0,541666679.4666667
gaDEiICD,آجودانیه,160.0,3.0,6.0,True,True,True,86000001024,2.0,537500006.4
gaD4hAaQ,آجودانیه,155.0,3.0,5.0,True,True,True,85000003584,1.0,548387119.8967742
gaCofKf4,آجودانیه,230.0,4.0,1.0,True,True,True,89000001536,12.0,386956528.4173913
gaAYLOuC,آجودانیه,130.0,2.0,1.0,True,True,True,65000001536,1.0,500000011.8153846
QaaTHz-d,آجودانیه,190.0,3.0,5.0,True,True,True,65999998976,20.0,347368415.6631579
gaCoOXJK,آجودانیه,195.0,3.0,5.0,True,True,True,120000004096,7.0,615384636.3897436
Qa5H8EaW,آجودانیه,150.0,3.0,1.0,True,True,False,49999998976,27.0,333333326.50666666
QabnTakU,آجودانیه,225.0,3.0,2.0,True,True,True,105000001536,8.0,466666673.49333334
QaczKtrO,آجودانیه,218.0,4.0,5.0,True,True,True,95000002560,2.0,435779828.25688076
gaDowl5k,آجودانیه,180.0,3.0,2.0,True,True,True,80000000000,13.0,444444444.4444444
QapPNgo3,آجودانیه,170.0,3.0,3.0,True,True,True,71999995904,14.0,423529387.67058825
QavP-Rb3,آذربایجان,38.0,1.0,3.0,False,True,False,6700000256,25.0,176315796.21052632
QaenSkD-,آذربایجان,108.0,2.0,2.0,True,True,True,16499999744,3.0,152777775.4074074
gaD4Cehp,آذربایجان,45.0,1.0,0.0,False,True,False,7699999744,15.0,171111105.42222223
gaDMyxuH,آذربایجان,100.0,2.0,1.0,True,True,False,15500000256,20.0,155000002.56
gaBsqSgm,آذربایجان,85.0,2.0,4.0,True,True,False,11079999488,22.0,130352935.15294118
gaCou4q4,آذربایجان,75.0,2.0,4.0,True,True,True,11489999872,19.0,153199998.29333332
gaB4oOBS,آذربایجان,82.0,2.0,4.0,True,True,True,12449999872,19.0,151829266.7317073
gaDU47UD,آذری,112.0,3.0,3.0,True,False,False,11000000512,20.0,98214290.28571428
Qa1LrJ0b,آذری,150.0,3.0,3.0,True,True,True,17300000768,2.0,115333338.45333333
gaCcvjWP,آذری,46.0,1.0,3.0,False,False,False,4150000128,18.0,90217394.08695652
Qa5LMyR0,آذری,49.0,1.0,2.0,False,True,True,5299999744,9.0,108163260.08163266
gaDcgM4n,آذری,56.0,1.0,1.0,True,True,True,7000000000,4.0,125000000.0
gaC0_WzJ,آذری,102.0,2.0,1.0,True,True,True,13500000256,3.0,132352943.68627451
QaMCehBn,آذری,52.0,1.0,3.0,False,True,False,4899999744,15.0,94230764.3076923
Qa-xUjdX,آذری,82.0,2.0,2.0,True,False,True,7000000000,1.0,85365853.65853658
Qa6Tvw8-,آذری,75.0,2.0,1.0,True,False,True,9200000000,4.0,122666666.66666667
QatX8vCj,آذری,50.0,1.0,3.0,False,False,False,4300000256,15.0,86000005.12
Qat7rnxW,آذری,61.0,1.0,3.0,True,True,True,5794999808,7.0,94999996.85245901
gaCwu2Gb,آرژانتین,108.0,2.0,6.0,True,True,True,38880002048,1.0,360000018.962963
gaCQO6n2,آرژانتین,45.0,1.0,5.0,True,True,True,4499999744,4.0,99999994.31111111
gaCU-y6G,آسمان,105.0,2.0,3.0,True,True,True,36899999744,10.0,351428568.9904762
gaDEDngE,آسمان,115.0,2.0,2.0,True,True,True,24000000000,19.0,208695652.17391303
Qa__CrV_,آسمان,85.0,2.0,3.0,True,True,True,23499999232,15.0,276470579.2
QaSziJVX,آسمان,145.0,3.0,5.0,True,True,True,44999999488,15.0,310344824.05517244
QavrlXTv,آسمان,73.0,2.0,1.0,True,True,False,21500000256,22.0,294520551.4520548
gaDgRoJl,آسمان,135.0,3.0,3.0,False,False,False,22000001024,25.0,162962970.54814816
gaAwjg5h,آسمان,60.0,1.0,4.0,True,True,True,28000000000,15.0,466666666.6666667
Qa_vDK8Q,آسمان,100.0,2.0,3.0,True,True,True,32999999488,15.0,329999994.88
gaDAR1Bq,آسمان,110.0,2.0,3.0,True,True,True,36999999488,18.0,336363631.7090909
gaCwzBT6,آسمان,123.0,2.0,3.0,True,True,True,38000001024,16.0,308943097.75609756
gaDcQMmm,آسمان,105.0,2.0,3.0,True,True,True,38000001024,7.0,361904771.6571429
QaWHmmKd,آسمان,126.0,3.0,2.0,True,True,True,30000001024,5.0,238095246.2222222
gaBQKAxj,آسمان,120.0,3.0,2.0,True,True,True,44000002048,0.0,366666683.73333335
gaCsul_A,آسمان,80.0,1.0,2.0,True,True,True,25500000256,20.0,318750003.2
QacjrbpZ,آسمان,90.0,2.0,2.0,True,True,True,19299999744,17.0,214444441.6
gaC4MaLW,آسمان,130.0,3.0,2.0,True,True,True,35000000512,25.0,269230773.16923076
gaBs7wIM,آسمان,135.0,3.0,3.0,True,True,True,34500001792,19.0,255555568.82962963
gaDQi585,آسمان,90.0,2.0,2.0,False,True,False,40000000000,25.0,444444444.4444444
Qas7Zzqw,آسمان,85.0,2.0,3.0,True,True,True,28999999488,11.0,341176464.5647059
gaDoHlvU,آشتیانی,50.0,1.0,2.0,True,True,False,8899999744,20.0,177999994.88
gaDo0IPf,آشتیانی,70.0,2.0,3.0,True,True,False,12999999488,15.0,185714278.4
gaBAZbTs,آشتیانی,73.0,2.0,1.0,False,True,False,12800000000,19.0,175342465.75342464
gaC0fO08,آشتیانی,57.0,1.0,4.0,True,True,False,8800000000,25.0,154385964.9122807
gaCsNlOz,آشتیانی,87.0,2.0,4.0,False,True,True,16999999488,16.0,195402292.96551725
gaDspdhS,آهنگ,108.0,2.0,3.0,True,True,True,24999999488,6.0,231481476.74074075
gaDYU7Iz,آهنگ,58.0,1.0,1.0,False,True,True,13340000256,12.0,230000004.41379312
gaDc0F5K,آهنگ,73.0,2.0,1.0,True,True,False,13500000256,19.0,184931510.3561644
gaDIkjgx,آهنگ,81.0,2.0,3.0,False,False,True,13500000256,12.0,166666669.8271605
gaDkjsQ1,آهنگ,70.0,2.0,4.0,True,True,False,8499999744,22.0,121428567.77142857
Qa_7jjcl,آهنگ,61.0,1.0,2.0,False,True,True,8999999488,19.0,147540975.21311477
gaCIei-S,آهنگ,65.0,1.0,1.0,False,True,True,9699999744,11.0,149230765.2923077
gaDEyBJ0,آهنگ,46.0,1.0,2.0,False,True,False,6200000000,19.0,134782608.6956522
Qa8VFaiD,آهنگ,90.0,2.0,4.0,True,True,False,9500000256,21.0,105555558.4
gaC0-gMI,آهنگ,70.0,2.0,4.0,False,True,False,7699999744,21.0,109999996.34285714
gaCUep10,آهنگ,78.0,2.0,3.0,False,True,True,12999999488,22.0,166666660.1025641
gaCkdzhA,آهنگ,70.0,2.0,3.0,True,True,False,8200000000,22.0,117142857.14285715
Qa8jFy7G,آهنگ,62.0,1.0,4.0,False,False,False,5800000000,25.0,93548387.09677419
gaA8DMtz,آهنگ,50.0,1.0,4.0,False,True,True,4950000128,23.0,99000002.56
gaAsTNss,آهنگ,111.0,2.0,3.0,True,True,True,27750000640,0.0,250000005.76576576
Qa6zfkHm,آهنگ,50.0,1.0,3.0,True,True,False,5980000256,12.0,119600005.12
gaC4tXvl,آهنگ,107.0,3.0,4.0,True,True,True,17899999232,13.0,167289712.44859812
gaCw-ld_,آهنگ,58.0,1.0,1.0,False,True,True,14499999744,14.0,249999995.58620688
gaB84Xhi,آهنگ,78.0,2.0,3.0,False,True,True,12999999488,22.0,166666660.1025641
Qa9DJ_Fh,آهنگ,50.0,1.0,5.0,False,True,True,6800000000,13.0,136000000.0
gaCctl7l,آهنگ,70.0,1.0,2.0,False,True,True,7699999744,25.0,109999996.34285714
gaCcthCq,آهنگ,81.0,2.0,3.0,False,False,True,13500000256,12.0,166666669.8271605
gaDskNT6,آهنگران (سراسیاب دولاب),47.0,1.0,2.0,True,True,False,5500000256,18.0,117021282.04255319
gaCkMZEy,آهنگران (سراسیاب دولاب),50.0,1.0,1.0,False,True,False,5699999744,25.0,113999994.88
gaDgg9RE,ائمه اطهار,98.0,3.0,2.0,True,True,True,16000000000,11.0,163265306.12244898
Qa2zhRcS,ائمه اطهار,96.0,2.0,6.0,True,True,True,21300000768,1.0,221875008.0
gaCMew6H,ائمه اطهار,134.0,3.0,5.0,True,True,True,26800001024,0.0,200000007.64179105
gaAwE1lE,ائمه اطهار,65.0,1.0,4.0,True,True,False,7600000000,22.0,116923076.92307693
gaCU9dpR,ائمه اطهار,90.0,2.0,3.0,False,True,True,15299999744,16.0,169999997.15555555
gaAQK4ri,ائمه اطهار,90.0,2.0,1.0,False,True,True,14800000000,15.0,164444444.44444445
gaCo9iaE,اباذر,225.0,3.0,1.0,True,True,True,54000001024,19.0,240000004.5511111
gaDoEqZZ,اباذر,67.0,2.0,2.0,True,False,False,15399999488,19.0,229850738.62686568
gaD00a-E,اباذر,100.0,2.0,11.0,True,True,True,38799998976,2.0,387999989.76
gaDo1tML,اباذر,110.0,2.0,4.0,True,True,True,35999997952,1.0,327272708.6545454
gaDY1Pfc,اباذر,82.0,2.0,1.0,True,True,True,22150000640,16.0,270121959.0243902
Qa4jmyLt,اباذر,158.0,3.0,4.0,True,True,True,41500000256,15.0,262658229.46835443
gaD4DNws,اباذر,190.0,3.0,5.0,True,True,True,54000001024,17.0,284210531.70526314
gaDUUzZA,اباذر,160.0,3.0,5.0,True,True,True,41999998976,15.0,262499993.6
gaDMkh73,اباذر,118.0,2.0,5.0,True,True,True,28999999488,15.0,245762707.52542374
gaDAzaOb,اباذر,60.0,1.0,4.0,True,True,True,16000000000,19.0,266666666.66666666
Qa_nS21B,اباذر,241.0,3.0,1.0,True,True,True,79500001280,8.0,329875523.9834025
Qa13dpKs,اباذر,80.0,2.0,1.0,True,True,True,17500000256,20.0,218750003.2
Qa_TgXG4,اباذر,70.0,2.0,5.0,True,True,True,17200001024,19.0,245714300.34285715
QatzuSel,اباذر,125.0,3.0,5.0,True,True,True,46000001024,3.0,368000008.192
Qa4fZf6T,اباذر,175.0,3.0,3.0,True,True,True,43569999872,13.0,248971427.84
Qa_7TX8y,اباذر,66.0,2.0,2.0,True,True,False,15399999488,17.0,233333325.57575756
Qa4T6Dlm,اباذر,80.0,2.0,5.0,False,False,True,15299999744,24.0,191249996.8
gaDgi6Gc,اباذر,90.0,2.0,4.0,True,True,True,24199999488,15.0,268888883.2
gaDsSQMF,اباذر,139.0,3.0,3.0,True,True,True,47800000512,0.0,343884895.76978415
gaDUwkTv,اباذر,115.0,3.0,2.0,True,True,True,41000001536,2.0,356521752.48695654
gaDoSKLT,اباذر,93.0,2.0,3.0,True,True,True,27499999232,16.0,295698916.4731183
Qa_jhGKg,اباذر,128.0,3.0,5.0,True,True,True,47099998208,1.0,367968736.0
QauXzfeO,اباذر,115.0,2.0,3.0,True,True,True,28999999488,15.0,252173908.59130436
Qa-X-tjV,اباذر,115.0,2.0,4.0,True,True,True,35999997952,2.0,313043460.4521739
Qay7g7aA,اباذر,110.0,2.0,4.0,True,True,True,25999998976,11.0,236363627.05454546
gaBktFhq,اباذر,134.0,3.0,4.0,True,True,True,48000000000,1.0,358208955.2238806
gaDoBq-Q,اباذر,100.0,2.0,7.0,True,True,True,38799998976,3.0,387999989.76
gaDgx4Cs,اباذر,72.0,2.0,2.0,True,True,True,18699999232,21.0,259722211.55555555
gaBgJAKJ,اباذر,105.0,3.0,4.0,True,True,True,27000000512,17.0,257142862.01904762
gaD8QQBp,اباذر,120.0,2.0,5.0,True,True,True,25999998976,17.0,216666658.13333333
gaDcwZfw,اباذر,143.0,3.0,2.0,True,True,True,48499998720,2.0,339160830.2097902
gaBM-836,اباذر,139.0,3.0,3.0,True,True,True,26900000768,20.0,193525185.38129497
gaC0_x67,اباذر,132.0,3.0,5.0,True,True,True,46000001024,1.0,348484856.24242425
gaCc_DVF,اباذر,165.0,3.0,3.0,True,True,True,35999997952,11.0,218181805.76969698
Qa-zsYI8,اباذر,90.0,2.0,3.0,True,True,False,19800000512,21.0,220000005.68888888
QanLE7sG,اباذر,165.0,3.0,5.0,True,True,True,56000000000,1.0,339393939.3939394
gaCM_OV_,اباذر,155.0,3.0,5.0,True,True,True,40499998720,18.0,261290314.32258064
gaCAfxnl,اباذر,71.0,2.0,3.0,True,True,True,20999999488,15.0,295774640.6760563
Qa0nspKs,اباذر,157.0,3.0,3.0,True,True,True,41500000256,17.0,264331211.82165605
gaCsNno1,اباذر,140.0,3.0,5.0,True,True,True,49000001536,0.0,350000010.9714286
gaBcq2yp,اباذر,140.0,3.0,3.0,True,True,True,40000000000,8.0,285714285.71428573
Qa4jr8IB,اباذر,155.0,3.0,3.0,True,True,True,41500000256,12.0,267741937.13548386
gaCsuCju,اباذر,86.0,2.0,3.0,True,True,True,22900000768,9.0,266279078.69767442
gaCoOAaL,اباذر,154.0,3.0,5.0,True,True,True,40000000000,15.0,259740259.74025974
gaBsbMOp,اباذر,95.0,2.0,4.0,True,True,True,36800000000,0.0,387368421.05263156
Qa8LaxM-,اباذر,77.0,2.0,1.0,True,True,False,17500000256,18.0,227272730.5974026
gaBQMhvV,اباذر,60.0,1.0,2.0,True,True,True,20899999744,0.0,348333329.06666666
gaBwORgB,اباذر,77.0,2.0,5.0,True,True,True,24299999232,7.0,315584405.6103896
gaCQeMPw,اباذر,115.0,2.0,2.0,True,True,True,30200000512,1.0,262608700.10434783
Qa3blFXs,اباذر,78.0,2.0,5.0,True,True,True,19800000512,13.0,253846160.41025642
Qa1T7ghC,اباذر,125.0,3.0,3.0,True,True,True,35999997952,13.0,287999983.616
Qa8rlATu,اباذر,150.0,3.0,3.0,True,True,True,57000001536,1.0,380000010.24
Qaw7MSUp,اباذر,122.0,3.0,2.0,True,True,True,32500000768,7.0,266393448.9180328
QaxDu6us,اباذر,125.0,3.0,4.0,True,True,True,46000001024,3.0,368000008.192
Qa7Pilju,اباذر,112.0,2.0,4.0,True,True,True,39700000768,3.0,354464292.5714286
gaCod-Ts,اباذر,115.0,2.0,3.0,True,True,True,35799998464,0.0,311304334.4695652
gaCot0y2,اباذر,205.0,3.0,5.0,True,True,True,51249999872,23.0,249999999.37560976
Qa57tUro,اباذر,163.0,3.0,3.0,True,True,True,32999999488,12.0,202453984.58895704
gaDEeI84,ابوذر,55.0,1.0,2.0,False,False,False,8999999488,23.0,163636354.3272727
gaD42Oxj,ابوذر,77.0,2.0,2.0,True,True,False,11399999488,20.0,148051941.4025974
gaDIGOiT,ابوذر,102.0,2.0,3.0,True,True,True,20000000000,10.0,196078431.37254903
gaD8lfbB,ابوذر,100.0,2.0,3.0,True,True,True,17799999488,1.0,177999994.88
gaD8VTx1,ابوذر,53.0,1.0,5.0,False,True,True,7600000000,19.0,143396226.41509435
gaDYVZyc,ابوذر,73.0,2.0,5.0,True,True,True,12999999488,5.0,178082184.76712328
gaCkyQX2,ابوذر,65.0,1.0,4.0,False,True,False,7000000000,25.0,107692307.6923077
gaD0Epvq,ابوذر,101.0,2.0,3.0,True,True,True,16999999488,3.0,168316826.61386138
gaDkUBLG,ابوذر,61.0,1.0,3.0,False,True,False,7600000000,20.0,124590163.93442623
Qa-DvHhY,ابوذر,85.0,2.0,4.0,False,True,False,8300000256,19.0,97647061.83529411
Qa_7TUaR,ابوذر,101.0,2.0,3.0,True,True,True,17500000256,3.0,173267329.26732674
gaAoqMZx,ابوذر,102.0,2.0,3.0,True,True,True,20000000000,9.0,196078431.37254903
Qa-H-l7v,ابوذر,127.0,3.0,1.0,True,False,True,23000000512,1.0,181102366.23622048
gaDUy129,ابوذر,72.0,2.0,3.0,False,True,False,9299999744,21.0,129166663.1111111
gaDcQgDh,ابوذر,62.0,2.0,3.0,False,True,True,10300000256,22.0,166129036.38709676
gaBkYuy8,ابوذر,127.0,3.0,1.0,True,True,True,24000000000,0.0,188976377.9527559
gaDUhcAc,ابوذر,60.0,2.0,0.0,False,True,False,8300000256,20.0,138333337.6
Qa4vma_6,ابوذر,63.0,1.0,2.0,True,True,False,7750000128,20.0,123015875.04761904
gaDQAfTQ,ابوذر,102.0,2.0,3.0,True,True,True,17300000768,4.0,169607850.66666666
Qa9jLyNl,ابوذر,60.0,1.0,4.0,False,True,False,6000000000,25.0,100000000.0
gaCQfwU4,ابوذر,98.0,2.0,3.0,True,True,True,16499999744,9.0,168367344.3265306
gaCYvNUY,ابوذر,96.0,2.0,2.0,True,False,True,16800000000,0.0,175000000.0
QapTevmQ,ابوذر,107.0,2.0,1.0,True,True,True,20500000768,6.0,191588792.22429907
Qal7ht0d,ابوذر,54.0,1.0,4.0,True,True,False,6700000256,20.0,124074078.81481482
gaCYuI0d,ابوذر,97.0,2.0,2.0,True,True,True,16999999488,5.0,175257726.68041238
gaCUe1zZ,ابوذر,58.0,1.0,1.0,False,True,True,11100000256,9.0,191379314.75862068
Qa3DQGPX,ابوذر,98.0,2.0,1.0,True,False,True,19499999232,4.0,198979584.0
gaCI-JDm,ابوذر,92.0,2.0,2.0,True,False,True,15500000256,17.0,168478263.6521739
gaCM97DK,ابوذر,110.0,2.0,3.0,True,True,True,18900000768,5.0,171818188.8
gaC4NmBX,ابوذر,130.0,3.0,3.0,True,True,True,24700000256,1.0,190000001.96923077
Qa5Tv4mq,ابوذر,125.0,3.0,1.0,True,True,True,28000000000,6.0,224000000.0
gaA4yya2,ابوذر,64.0,2.0,1.0,True,True,True,12000000000,17.0,187500000.0
Qa5rvEt0,ابوذر,120.0,3.0,4.0,True,True,True,25200001024,6.0,210000008.53333333
gaBY_UFG,ابوذر,130.0,3.0,2.0,True,True,True,21500000256,15.0,165384617.35384616
gaD4GyRE,ابوذر,68.0,2.0,1.0,True,True,False,11200000000,21.0,164705882.3529412
gaDUEBOV,ابوذر,53.0,1.0,5.0,False,True,True,7600000000,19.0,143396226.41509435
gaDQh0rb,ابوذر,50.0,1.0,3.0,False,True,True,6000000000,24.0,120000000.0
gaCg-orO,ابوذر,82.0,2.0,2.0,True,True,True,14350000128,0.0,175000001.5609756
Qac3bfzk,ابوذر,107.0,3.0,2.0,True,True,True,20000000000,10.0,186915887.8504673
gaDg2PiR,اتابک,76.0,1.0,6.0,True,False,True,5280000000,9.0,69473684.21052632
gaDgmMGH,اتابک,56.0,1.0,3.0,True,True,True,5440000000,22.0,97142857.14285715
gaBMt15f,اتابک,56.0,1.0,4.0,True,False,True,5000000000,7.0,89285714.28571428
gaDY0qVk,اتابک,105.0,2.0,2.0,False,True,True,6354999808,12.0,60523807.6952381
gaCEOfwo,اتابک,58.0,1.0,3.0,True,True,False,3950000128,22.0,68103450.48275863
QaqDhJ7R,اتحاد,100.0,2.0,3.0,True,True,True,600000000,3.0,6000000.0
gaD0ZN9T,اختیاریه,120.0,2.0,5.0,True,True,True,41999998976,10.0,349999991.46666664
gaDMYYVd,اختیاریه,186.0,3.0,2.0,True,True,True,60999999488,20.0,327956986.49462366
QajHeZsx,اختیاریه,155.0,3.0,5.0,True,True,True,70000001024,1.0,451612909.83225805
Qa8D0Vma,اختیاریه,84.0,2.0,5.0,True,True,True,32800000000,2.0,390476190.47619045
gaDkFlgT,اختیاریه,77.0,2.0,4.0,True,True,True,25999998976,12.0,337662324.3636364
gaDA1XQw,اختیاریه,200.0,3.0,4.0,True,True,True,64000000000,20.0,320000000.0
QasTFlwc,اختیاریه,78.0,2.0,5.0,True,True,True,26499999744,12.0,339743586.46153843
gaCw-ZVa,اختیاریه,185.0,3.0,2.0,True,True,True,60700000256,20.0,328108109.4918919
Qa5rNKeb,اختیاریه,67.0,2.0,3.0,False,False,False,16499999744,21.0,246268652.8955224
gaDElfPu,اختیاریه,140.0,3.0,1.0,True,True,False,46999998464,34.0,335714274.74285716
gaDwUtDP,اختیاریه,218.0,3.0,5.0,True,True,True,105000001536,0.0,481651383.19266057
gaD0UFI9,اختیاریه,178.0,3.0,4.0,True,True,True,65000001536,1.0,365168547.9550562
gaDA0qrr,اختیاریه,58.0,1.0,4.0,True,True,False,12499999744,21.0,215517236.96551725
gaDEkjw5,اختیاریه,180.0,3.0,3.0,True,True,True,84900003840,0.0,471666688.0
gaDsTiQj,اختیاریه,115.0,2.0,4.0,True,True,True,44999999488,7.0,391304343.37391305
gaDgjs4L,اختیاریه,130.0,3.0,3.0,True,True,True,35999997952,17.0,276923061.16923076
Qa4_72IB,اختیاریه,160.0,3.0,1.0,True,True,True,74999996416,1.0,468749977.6
gaBYoq85,اختیاریه,70.0,1.0,1.0,True,True,True,27000000512,10.0,385714293.0285714
gaAgk6dK,اختیاریه,100.0,3.0,1.0,True,True,True,35499999232,10.0,354999992.32
gaCUgFwU,اختیاریه,80.0,2.0,1.0,True,True,True,31499999232,0.0,393749990.4
gaDgyZV3,اختیاریه,139.0,3.0,1.0,True,True,True,38499999744,32.0,276978415.4244604
gaDgyXL5,اختیاریه,154.0,3.0,4.0,True,True,True,74999996416,3.0,487012963.74025977
Qa_bmLDr,اختیاریه,50.0,1.0,3.0,True,True,True,13500000256,20.0,270000005.12
gaCIfsc_,اختیاریه,169.0,3.0,4.0,True,True,True,51000000512,17.0,301775150.9585799
gaDAxyTX,اختیاریه,120.0,3.0,4.0,True,True,True,29949999104,18.0,249583325.86666667
gaBg5suX,اختیاریه,155.0,3.0,4.0,True,True,True,74999996416,0.0,483870944.61935484
gaCot32l,اختیاریه,200.0,3.0,2.0,True,True,True,83999997952,0.0,419999989.76
gaDoAiTM,اختیاریه,160.0,3.0,5.0,True,True,True,67999997952,11.0,424999987.2
gaCg_YA5,اختیاریه,140.0,3.0,3.0,True,True,False,32500000768,25.0,232142862.62857142
gaAQiJl0,اختیاریه,133.0,2.0,1.0,True,True,True,38000001024,17.0,285714293.4135338
gaDQwGkL,اختیاریه,125.0,3.0,2.0,True,True,True,52500000768,2.0,420000006.144
gaDAQPu2,اختیاریه,115.0,2.0,1.0,True,True,True,44999999488,4.0,391304343.37391305
gaAYVJdI,اختیاریه,170.0,3.0,3.0,True,True,True,67999997952,7.0,399999987.9529412
Qa5nM8SF,اختیاریه,58.0,1.0,2.0,True,True,True,18800001024,13.0,324137948.6896552
Qat3sX1K,اختیاریه,150.0,3.0,2.0,True,True,True,62579998720,2.0,417199991.46666664
gaCUPzsE,اختیاریه,70.0,2.0,4.0,True,True,True,25999998976,10.0,371428556.8
gaBYel8z,اختیاریه,160.0,3.0,5.0,True,True,True,73000001536,1.0,456250009.6
gaAE1LKy,اختیاریه,85.0,2.0,3.0,True,True,True,32000000000,5.0,376470588.2352941
Qa5rvif4,اختیاریه,110.0,2.0,3.0,True,True,True,32000000000,16.0,290909090.90909094
gaCE_cke,اختیاریه,87.0,2.0,4.0,True,True,True,35000000512,5.0,402298856.45977014
Qa47UdJK,اختیاریه,100.0,2.0,5.0,True,True,True,35000000512,15.0,350000005.12
Qawn3kg9,اختیاریه,160.0,3.0,4.0,True,True,True,70999998464,2.0,443749990.4
gaCouLaf,اختیاریه,137.0,3.0,2.0,True,True,True,46000001024,1.0,335766430.8321168
QakjJoGz,اختیاریه,200.0,3.0,2.0,True,True,True,83999997952,2.0,419999989.76
Qa83GKkg,اختیاریه,114.0,2.0,1.0,True,True,True,44999999488,3.0,394736837.61403507
